member_casual,day_of_week,number_of_rides,average_duration
casual,Sunday,185059,3559.2955922165365
casual,Monday,105188,3359.607654865574
casual,Tuesday,93238,3562.154743773998
casual,Wednesday,94946,3702.9007751774693
casual,Thursday,105599,3803.1191488555764
casual,Friday,125779,3768.9980441886164
casual,Saturday,215536,3339.9182967114543
member,Sunday,292198,927.2715692783661
member,Monday,520703,845.8799065878245
member,Tuesday,566722,829.8320816908466
member,Wednesday,558254,813.8020363490455
member,Thursday,548160,811.8656377699941
member,Friday,512462,825.5615928595681
member,Saturday,317267,973.5913851740017
